Distillery,Location,Region,Founded,Owner
Port Ellen,Port Ellen,Islay,1825,Diageo
Port of Leith,Edinburgh,Lowland,2023,Independent
Pulteney,Wick,Highland,1826,Inver House Distillers
Raasay,Isle of Raasay,Island,2014,R&B Distillers
Rosebank,Falkirk,Lowland,1798,Ian Macleod Distillers
Roseisle,Roseisle,Speyside,2010,Diageo
Royal Brackla,Nairn,Highland,1812,Bacardi
Royal Lochnagar,Ballater,Highland,1845,Diageo
Saxa Vord,Unst,Island,2015,Independent
Scapa,Kirkwall,Island,1885,Chivas Brothers
Speyburn,Rothes,Speyside,1897,Inver House Distillers
Speyside,Drumguish,Speyside,1990,Harvey's of Edinburgh Ltd.
Springbank,Campbeltown,Campbeltown,1828,J & A Mitchell & Co Ltd.
Strathearn,Methven,Highland,2013,Douglas Laing & Co.
Strathisla,Keith,Speyside,1786,Chivas Brothers
Strathmill,Keith,Speyside,1891,Diageo
Talisker,"Carbost, Isle of Skye",Island,1830,Diageo
Tamdhu,Knockando,Speyside,1897,Ian Macleod Distillers
Tamnavulin,Tomnavoulin,Speyside,1966,Whyte & Mackay
Teaninich,Alness,Highland,1817,Diageo
Tobermory,"Tobermory, Isle of Mull",Island,1798,Distell
Tomatin,Tomatin,Highland,1897,Takara Shuzo Co
Tomintoul,Ballindalloch,Speyside,1964,Angus Dundee Distiller
Torabhaig,"Teangue, Isle of Skye",Island,2017,Mossburn Distillers
Tormore,Grantown-on-Spey,Speyside,1958,Elixir Distillers
Tullibardine,Blackford,Highland,1949,Picard Vins & Spiritueux
Uile-bheist,Inverness,Highland,2023,Independent
Wolfburn,Thurso,Highland,1822,Aurora Brewing
8 Doors,John O’Groats,Highland,2022,Independent
